Name,Age,Department,Role,Years_of_Experience,Skillset,Project_Success_Rate,Mentor,Mentee
Andrew Jenkins,35,Logistics,Logistics Coordinator,4,"Networking, Supply Chain Management",0.54,,
Mr. Nicholas Castillo,29,IT,IT Support,2,Cybersecurity,0.91,,
Timothy Jones,46,Engineering,Senior Engineer,6,"Electrical Engineering, Java, Data Analysis",0.54,,
Scott Rodriguez,33,Logistics,Logistics Coordinator,3,"Warehouse Management, Communication",0.62,,
Laurie Lester,39,Operations,Operations Manager,7,"Teamwork, Process Improvement, Risk Management, Data Analysis",0.63,,
Robert Parker,25,Engineering,Junior Engineer,1,"Machine Learning, Python",0.56,,
Tracy Beasley,25,IT,IT Support,0,Python,0.75,,
David Hoffman,37,Engineering,Engineer,5,"CAD Design, Java, Systems Engineering",0.73,,
Lynn Burns,30,Engineering,Engineer,4,"Data Analysis, Electrical Engineering, Python",0.95,,
Kevin Mack,33,Engineering,Senior Engineer,6,"Java, CAD Design",0.8,,
Joseph Molina,34,Engineering,Engineer,4,"Java, CAD Design, Electrical Engineering",0.68,,
Allison Mcclain,45,Engineering,Senior Engineer,8,"Python, Java, Electrical Engineering",0.58,,
Ann Lopez,30,Engineering,Engineer,5,"CAD Design, Data Analysis, Electrical Engineering",0.67,,
Cynthia Sanchez,27,IT,IT Support,1,Cloud Computing,0.89,,
Ryan Carter,31,Engineering,Engineer,4,"Machine Learning, Python",0.59,,
Aaron Whitney,41,Engineering,Senior Engineer,8,"Systems Engineering, Electrical Engineering, Data Analysis",0.72,,
Brianna Hernandez,33,Engineering,Engineer,4,"Java, Data Analysis",0.58,,
Renee Simon,40,Operations,Operations Manager,10,"Time Management, Data Analysis, Process Improvement, Project Management",0.79,,
Stephen Tate,43,Operations,Operations Manager,11,"Time Management, Risk Management, Teamwork, Data Analysis, Process Improvement, Project Management",0.95,,
Joanna Avery,29,Engineering,Junior Engineer,2,Python,0.89,,
Rebecca Smith,28,IT,IT Support,0,"Java, System Administration",0.64,,
Nathan Johnson,27,Operations,Logistics Coordinator,2,"Process Improvement, Data Analysis",0.61,,
Randy Phillips,44,Engineering,Senior Engineer,9,"CAD Design, Python, Machine Learning",0.6,,
Justin Collins,35,Engineering,Senior Engineer,6,"CAD Design, Electrical Engineering, Machine Learning",0.8,,
Allen Baker,42,Operations,Operations Manager,11,"Project Management, Teamwork, Process Improvement, Data Analysis",0.51,,
Shannon Martin,25,Customer Service,Customer Service Executive,1,Communication,0.93,,
Scott Lyons,28,Logistics,Logistics Coordinator,2,Warehouse Management,0.62,,
Tim Johnson,37,Engineering,Engineer,5,"Java, Electrical Engineering",0.73,,
Michael Mckenzie,34,Engineering,Senior Engineer,6,"Electrical Engineering, CAD Design, Java",0.87,,
Cheryl Moreno,25,Engineering,Junior Engineer,0,"Data Analysis, Java",0.63,,
Zoe Collier,41,Operations,Operations Manager,7,"Process Improvement, Project Management, Teamwork, Data Analysis",0.55,,
Richard Spencer,49,Operations,Operations Manager,12,"Risk Management, Time Management, Data Analysis, Teamwork",1.0,,
Brittany Miller,40,Engineering,Senior Engineer,7,"Electrical Engineering, Machine Learning, Python",0.63,,
Jacqueline Castro,26,Customer Service,Customer Service Executive,1,"Teamwork, Conflict Resolution",0.9,,
Lauren Ellis,43,Operations,Operations Manager,11,"Time Management, Project Management, Teamwork, Process Improvement, Risk Management",0.92,,
David Hayes,42,Operations,Operations Manager,10,"Risk Management, Teamwork, Project Management, Time Management, Data Analysis, Process Improvement",0.83,,
Jason Smith,45,Engineering,Senior Engineer,6,"Python, Systems Engineering",0.99,,
Denise Hood,49,Operations,Operations Manager,11,"Risk Management, Data Analysis, Project Management, Time Management, Teamwork",0.97,,
Jeffrey Taylor,38,Logistics,Logistics Coordinator,4,"Networking, Inventory Management",0.64,,
Heidi Davis,31,Operations,Logistics Coordinator,3,"Teamwork, Data Analysis",0.92,,
Rebecca Walker,35,Operations,Logistics Coordinator,3,"Teamwork, Time Management",0.86,,
Anita Anderson,36,Customer Service,Customer Service Executive,3,"Conflict Resolution, Teamwork",0.71,,
Jeff Salazar,39,Engineering,Senior Engineer,6,"Java, CAD Design, Machine Learning",0.53,,
Dennis Sanders,33,Customer Service,Customer Service Executive,3,"Teamwork, Conflict Resolution, Problem Solving",0.86,,
Sandra Cervantes,32,Customer Service,Customer Service Executive,3,"Teamwork, Conflict Resolution, Communication",0.78,,
Jenny Wagner,36,Engineering,Engineer,3,"Java, Systems Engineering, Machine Learning",0.89,,
Cameron Meadows,36,Customer Service,Customer Service Executive,3,"Conflict Resolution, Communication, Teamwork",0.53,,
Kim Garza,27,Customer Service,Customer Service Executive,1,Conflict Resolution,0.73,,
Anita Acevedo,29,Logistics,Logistics Coordinator,1,Communication,0.8,,
Laura Fields,51,Operations,Operations Manager,12,"Process Improvement, Teamwork, Data Analysis, Time Management",0.76,,
Eric Ortiz,44,Operations,Operations Manager,9,"Time Management, Teamwork, Project Management, Process Improvement",0.98,,
Glenn Harmon,39,Customer Service,Customer Service Executive,3,"Communication, Customer Relationship Management",0.51,,
Maria Evans,30,Logistics,Logistics Coordinator,4,"Inventory Management, Supply Chain Management, Communication",0.54,,
Elizabeth Maynard,28,Engineering,Junior Engineer,1,Data Analysis,0.53,,
Cory Stewart,26,Engineering,Junior Engineer,1,Machine Learning,0.64,,
Richard Manning,30,Operations,Operations Manager,7,"Project Management, Time Management, Data Analysis",0.99,,
Melissa Harrell,26,IT,IT Support,2,"Cloud Computing, Python",0.56,,
Corey Griffith,47,Engineering,Senior Engineer,7,"Systems Engineering, Electrical Engineering, Python, CAD Design",0.98,,
Tonya Yang,27,Operations,Logistics Coordinator,2,"Process Improvement, Risk Management",0.8,,
Eric Walsh,32,Operations,Operations Manager,7,"Data Analysis, Project Management, Process Improvement",0.94,,
James Martinez,48,Engineering,Senior Engineer,8,"Data Analysis, Electrical Engineering, Machine Learning",0.89,,
Jesse Jenkins,27,IT,IT Support,1,"Python, Cybersecurity",0.86,,
Caleb Ponce,39,Engineering,Senior Engineer,6,"Machine Learning, Systems Engineering",0.59,,
Stephanie Marshall,36,Logistics,Logistics Coordinator,3,"Networking, Supply Chain Management, Warehouse Management",0.91,,
Nicholas Robertson,40,Operations,Operations Manager,12,"Time Management, Teamwork, Process Improvement, Data Analysis",0.99,,
Dennis Williams MD,25,Operations,Logistics Coordinator,1,"Teamwork, Risk Management",0.6,,
Kimberly Norman,43,Operations,Operations Manager,8,"Risk Management, Teamwork, Process Improvement",0.97,,
Sierra Roberson,36,Engineering,Engineer,5,"Java, Data Analysis",0.68,,
Linda Graham,28,Customer Service,Customer Service Executive,2,Teamwork,0.5,,
Chad Wright,32,Operations,Logistics Coordinator,3,"Risk Management, Time Management",0.81,,
Heather Marquez,39,Operations,Logistics Coordinator,4,"Project Management, Time Management",0.58,,
Jared Harrison,31,Engineering,Senior Engineer,6,"Java, Data Analysis, Electrical Engineering",0.66,,
John Martinez,30,Operations,Logistics Coordinator,4,"Data Analysis, Risk Management",0.69,,
Daniel Sandoval,34,Engineering,Senior Engineer,7,"Electrical Engineering, Python, Machine Learning, Systems Engineering",0.95,,
Jessica Elliott,26,Logistics,Logistics Coordinator,1,Communication,0.83,,
Timothy Wilson,32,Operations,Logistics Coordinator,3,"Risk Management, Time Management, Project Management",1.0,,
Christine Cardenas,28,Engineering,Junior Engineer,0,"Machine Learning, CAD Design",0.77,,
Timothy Brooks,35,Operations,Operations Manager,7,"Process Improvement, Project Management, Data Analysis, Teamwork",0.99,,
Keith Maxwell,38,Customer Service,Customer Service Executive,3,"Customer Relationship Management, Teamwork",0.84,,
Steven Williams,32,Logistics,Logistics Coordinator,4,"Networking, Warehouse Management, Communication",0.86,,
Peter Garza,46,Operations,Operations Manager,11,"Teamwork, Risk Management, Data Analysis, Process Improvement, Time Management, Project Management",0.84,,
Michael Holmes,39,Logistics,Logistics Coordinator,4,"Warehouse Management, Supply Chain Management, Communication",0.95,,
Jacob Meyers,26,Customer Service,Customer Service Executive,1,"Teamwork, Conflict Resolution",0.52,,
David Hernandez,38,Engineering,Engineer,4,"Electrical Engineering, Machine Learning, Data Analysis",0.88,,
Matthew Riddle,40,Engineering,Senior Engineer,8,"Machine Learning, Systems Engineering, Data Analysis, Python",0.56,,
Edward Morris,28,Engineering,Junior Engineer,0,CAD Design,0.67,,
Pamela Kaufman,25,Logistics,Logistics Coordinator,1,"Inventory Management, Communication",0.58,,
Megan Phillips,31,Logistics,Logistics Coordinator,3,"Networking, Communication, Warehouse Management",0.61,,
Brandon Bishop,45,Operations,Operations Manager,10,"Risk Management, Data Analysis, Teamwork, Project Management",0.9,,
Justin Chang,43,Operations,Operations Manager,12,"Data Analysis, Time Management, Process Improvement, Teamwork, Project Management, Risk Management",0.63,,
Jason Schmidt,29,Customer Service,Customer Service Executive,1,Customer Relationship Management,0.72,,
Michelle Hines,30,Operations,Logistics Coordinator,4,"Time Management, Risk Management, Process Improvement",0.76,,
Juan Johnson,34,Engineering,Engineer,5,"Python, Electrical Engineering, CAD Design",0.51,,
Miss Angela Patel DDS,34,Operations,Logistics Coordinator,3,"Process Improvement, Project Management",0.94,,
Jason Cooper,55,Operations,Operations Manager,10,"Project Management, Risk Management, Time Management, Teamwork, Process Improvement, Data Analysis",0.68,,
Rachel Cook,28,Engineering,Junior Engineer,2,"CAD Design, Machine Learning",0.92,,
Matthew Brown,45,Operations,Operations Manager,10,"Data Analysis, Process Improvement, Risk Management, Project Management",0.65,,
Alexandria Eaton,25,Operations,Logistics Coordinator,2,"Time Management, Teamwork",0.74,,
Cassandra Thompson,30,Engineering,Engineer,3,"Systems Engineering, Java, Electrical Engineering",0.87,,
Melanie Romero,44,Engineering,Senior Engineer,7,"Electrical Engineering, Data Analysis, Java",0.82,,
Tina Williams,38,Engineering,Engineer,4,"Data Analysis, Electrical Engineering",0.58,,
Megan Gonzalez,26,Logistics,Logistics Coordinator,2,Supply Chain Management,0.92,,
Michael Hurley,39,Operations,Operations Manager,7,"Data Analysis, Time Management, Teamwork, Risk Management",0.53,,
Sarah Kelly,41,Operations,Operations Manager,7,"Project Management, Risk Management, Time Management",0.91,,
Sandra Moreno,38,Operations,Operations Manager,7,"Process Improvement, Risk Management, Data Analysis",0.76,,
Michael Davis,48,Operations,Operations Manager,11,"Time Management, Risk Management, Project Management, Data Analysis, Process Improvement, Teamwork",0.81,,
Jacob King,32,Engineering,Engineer,5,"Systems Engineering, Machine Learning, Python",0.91,,
Zachary Wright,44,Operations,Operations Manager,10,"Project Management, Teamwork, Risk Management, Time Management",0.69,,
Patricia Aguirre,27,Operations,Logistics Coordinator,1,"Time Management, Project Management",0.68,,
Melanie Smith,42,Operations,Operations Manager,9,"Risk Management, Time Management, Teamwork",0.53,,
Austin White,30,Logistics,Logistics Coordinator,3,"Data Analysis, Communication, Networking",0.76,,
Anthony Gordon,26,Engineering,Junior Engineer,2,Machine Learning,0.81,,
Miranda Watkins,32,Logistics,Logistics Coordinator,3,"Networking, Communication, Data Analysis",0.69,,
Stephanie White,37,Engineering,Senior Engineer,6,"Data Analysis, Java, CAD Design",0.81,,
Elizabeth Duncan,26,Engineering,Junior Engineer,0,Electrical Engineering,0.8,,
Amy Ellis,26,Customer Service,Customer Service Executive,0,"Customer Relationship Management, Teamwork",0.81,,
Karen Graham,38,Engineering,Senior Engineer,6,"Systems Engineering, Electrical Engineering, Machine Learning",0.99,,
Michele Nelson,39,Engineering,Engineer,3,"Systems Engineering, CAD Design",0.55,,
Joseph Edwards,35,Operations,Operations Manager,7,"Project Management, Time Management, Data Analysis, Teamwork",0.79,,
Kyle West,25,Operations,Logistics Coordinator,2,"Process Improvement, Time Management",0.63,,
Paul Anderson,41,Operations,Operations Manager,10,"Teamwork, Risk Management, Project Management, Time Management",0.73,,
Heidi Welch,39,Engineering,Engineer,3,"Data Analysis, Python, Electrical Engineering",0.62,,
Kimberly Griffin,29,Engineering,Junior Engineer,0,Machine Learning,0.54,,
Rachel Velazquez,32,Operations,Operations Manager,7,"Data Analysis, Teamwork, Project Management",0.73,,
Jose Anderson,49,Engineering,Senior Engineer,6,"Systems Engineering, Data Analysis",0.69,,
David Chambers,44,Operations,Operations Manager,10,"Project Management, Risk Management, Time Management, Teamwork, Process Improvement, Data Analysis",0.62,,
Suzanne Thompson,28,Customer Service,Customer Service Executive,0,"Problem Solving, Customer Relationship Management",0.9,,
Nicholas Foster,25,Operations,Logistics Coordinator,1,Process Improvement,0.7,,
Sonya Mays,40,Engineering,Senior Engineer,7,"Machine Learning, Java, Data Analysis, CAD Design",0.57,,
Marcus Wong,26,Engineering,Junior Engineer,2,"Python, Machine Learning",0.92,,
Nathan Williams,38,Operations,Logistics Coordinator,3,"Data Analysis, Time Management, Risk Management",0.87,,
Brandon Hood,26,Operations,Logistics Coordinator,2,Risk Management,0.58,,
Mitchell Rose,35,Engineering,Engineer,5,"CAD Design, Data Analysis, Electrical Engineering",0.74,,
Emily Barber,36,Logistics,Logistics Coordinator,3,"Warehouse Management, Communication, Inventory Management",0.79,,
Thomas Oneal,29,Operations,Logistics Coordinator,2,Data Analysis,0.63,,
Kara Ford,45,Operations,Operations Manager,7,"Time Management, Risk Management, Process Improvement, Data Analysis",0.73,,
John Ayala,25,Customer Service,Customer Service Executive,0,Teamwork,0.99,,
David Phillips Jr.,49,Operations,Operations Manager,9,"Risk Management, Project Management, Process Improvement, Teamwork",0.9,,
Bryan Robinson,36,Operations,Logistics Coordinator,4,"Risk Management, Time Management, Process Improvement",0.77,,
Breanna Ruiz,38,Operations,Logistics Coordinator,3,"Time Management, Risk Management",0.68,,
Rachel Morrison,32,Engineering,Engineer,5,"CAD Design, Electrical Engineering",0.8,,
David Duncan,26,Customer Service,Customer Service Executive,0,Problem Solving,0.94,,
Kayla Jordan,41,Operations,Operations Manager,7,"Project Management, Process Improvement, Teamwork",0.95,,
Vanessa Peters,28,Operations,Logistics Coordinator,1,Project Management,0.89,,
Ashley Mooney,36,Engineering,Engineer,3,"Python, Machine Learning, Systems Engineering",0.96,,
Brent Page,30,Logistics,Logistics Coordinator,3,"Warehouse Management, Inventory Management",0.94,,
Paul Smith,26,Customer Service,Customer Service Executive,0,Customer Relationship Management,0.59,,
Joseph Sosa,38,Operations,Logistics Coordinator,3,"Risk Management, Process Improvement, Data Analysis",0.58,,
Bryan Woodard,30,Logistics,Logistics Coordinator,4,"Inventory Management, Data Analysis, Communication",0.9,,
Elizabeth Livingston,46,Operations,Operations Manager,12,"Project Management, Teamwork, Risk Management, Time Management",0.56,,
Andrew Walter,29,Customer Service,Customer Service Executive,1,Problem Solving,0.62,,
Cesar Gray,29,Customer Service,Customer Service Executive,1,"Teamwork, Conflict Resolution",0.75,,
Sheena Dunlap,25,Operations,Logistics Coordinator,2,Risk Management,0.94,,
Kevin Kim,25,IT,IT Support,1,"Networking, Cloud Computing",0.59,,
James Rice,51,Operations,Operations Manager,14,"Teamwork, Data Analysis, Project Management, Time Management, Risk Management",0.82,,
Kyle Luna,28,IT,IT Support,2,"Cybersecurity, System Administration",0.84,,
Kimberly Atkinson,29,Customer Service,Customer Service Executive,0,"Problem Solving, Teamwork",0.81,,
Emma Harrison,52,Operations,Operations Manager,10,"Teamwork, Time Management, Risk Management, Process Improvement, Data Analysis",0.73,,
Ronald Russell IV,51,Operations,Operations Manager,11,"Data Analysis, Time Management, Process Improvement, Project Management, Teamwork, Risk Management",0.69,,
Heather Lawrence,33,Operations,Logistics Coordinator,3,"Risk Management, Data Analysis",0.54,,
Paul Johnson,37,Engineering,Engineer,4,"Systems Engineering, CAD Design, Python",0.61,,
Linda Dean,53,Operations,Operations Manager,13,"Data Analysis, Risk Management, Time Management, Process Improvement",0.99,,
Carl Knight,49,Engineering,Senior Engineer,8,"Java, Systems Engineering, CAD Design",0.84,,
Steven Patterson,25,Logistics,Logistics Coordinator,2,Networking,0.99,,
Richard Johnson,27,Logistics,Logistics Coordinator,1,"Inventory Management, Networking",0.59,,
Zachary Ayala,25,Logistics,Logistics Coordinator,1,"Communication, Warehouse Management",0.97,,
David Russell,43,Engineering,Senior Engineer,6,"Java, Machine Learning",0.92,,
Monica Rush MD,37,Customer Service,Customer Service Executive,3,"Communication, Teamwork",0.52,,
Michael Butler,48,Operations,Operations Manager,12,"Process Improvement, Teamwork, Project Management, Time Management",0.73,,
Michael Landry,38,Logistics,Logistics Coordinator,4,"Warehouse Management, Networking",0.6,,
Molly Morrow,35,Operations,Logistics Coordinator,4,"Data Analysis, Teamwork",0.88,,
Sandra Smith,41,Engineering,Senior Engineer,6,"Data Analysis, Python",0.73,,
Jacob Douglas,29,IT,IT Support,1,"Cloud Computing, Networking",0.76,,
George Moore,36,Logistics,Logistics Coordinator,4,"Warehouse Management, Inventory Management",0.92,,
Samantha Armstrong,27,IT,IT Support,2,Cybersecurity,0.66,,
Veronica Berry,25,IT,IT Support,1,"Cybersecurity, Communication",0.71,,
Jonathan Austin,25,IT,IT Support,2,"Communication, Java",0.57,,
Autumn Carroll,45,Engineering,Senior Engineer,8,"Machine Learning, Python, Systems Engineering",0.63,,
James Roberts,32,Operations,Logistics Coordinator,3,"Data Analysis, Risk Management, Project Management",0.76,,
