Name,Age,Department,Role,Years_of_Experience,Skillset,Project_Success_Rate,Mentor,Mentee
Gerald Martinez,46,Operations,Operations Manager,8,"Data Analysis, Project Management, Time Management",0.81,,
Hunter Matthews,31,Engineering,Senior Engineer,7,"Data Analysis, Systems Engineering, Electrical Engineering, Machine Learning",0.92,,
Patricia Rogers,34,Engineering,Engineer,5,"Systems Engineering, Data Analysis, Electrical Engineering",0.9,,
Stephen Cruz,42,Operations,Operations Manager,11,"Teamwork, Process Improvement, Risk Management, Data Analysis, Project Management, Time Management",0.95,,
Marc Taylor,44,Operations,Operations Manager,11,"Process Improvement, Project Management, Risk Management, Time Management, Teamwork",0.97,,
Jessica Howell,37,Operations,Logistics Coordinator,4,"Process Improvement, Risk Management",0.72,,
Joel Martinez,36,Operations,Operations Manager,7,"Process Improvement, Time Management, Teamwork, Risk Management",0.65,,
Sean Hernandez,28,Customer Service,Customer Service Executive,1,Customer Relationship Management,0.52,,
Willie Warner,28,Logistics,Logistics Coordinator,2,Inventory Management,0.63,,
Bradley Chan,41,Engineering,Senior Engineer,6,"Machine Learning, CAD Design, Systems Engineering",0.83,,
Meredith Wilson,36,Operations,Logistics Coordinator,4,"Process Improvement, Project Management",0.54,,
Joy Morrison,26,Engineering,Junior Engineer,1,"Electrical Engineering, Python",0.68,,
Linda Lloyd,25,Engineering,Junior Engineer,1,"Data Analysis, Systems Engineering",0.98,,
Christine Brown,27,Operations,Logistics Coordinator,1,Risk Management,0.8,,
Katherine Cabrera,39,Engineering,Engineer,4,"Data Analysis, Electrical Engineering",0.66,,
Mary Smith,28,Engineering,Junior Engineer,0,"CAD Design, Data Analysis",0.99,,
Richard Wood,41,Engineering,Senior Engineer,9,"CAD Design, Python, Systems Engineering, Data Analysis",0.93,,
Richard Parsons,28,Engineering,Junior Engineer,0,Python,0.95,,
David Peterson,29,IT,IT Support,0,Cloud Computing,0.63,,
Cory Deleon,27,Engineering,Junior Engineer,0,"Electrical Engineering, Machine Learning",0.94,,
Christopher Hudson,38,Engineering,Engineer,3,"Java, Python",0.83,,
Michael Ortiz,42,Operations,Operations Manager,11,"Time Management, Project Management, Risk Management, Process Improvement, Teamwork, Data Analysis",0.76,,
Raymond Solis,45,Operations,Operations Manager,9,"Risk Management, Project Management, Process Improvement, Teamwork",0.76,,
Jared Smith,29,Customer Service,Customer Service Executive,1,"Conflict Resolution, Communication",0.68,,
Dawn Cochran,32,Operations,Logistics Coordinator,3,"Data Analysis, Process Improvement",0.96,,
Mercedes Vasquez,35,Operations,Operations Manager,7,"Teamwork, Time Management, Project Management",0.57,,
Julia Ward,29,Customer Service,Customer Service Executive,2,Conflict Resolution,0.85,,
Robert Robertson,36,Operations,Logistics Coordinator,4,"Data Analysis, Time Management, Teamwork",0.51,,
Brooke Powell,39,Engineering,Engineer,5,"Machine Learning, Java",0.74,,
Willie Davis DVM,44,Operations,Operations Manager,9,"Data Analysis, Risk Management, Teamwork, Project Management",0.93,,
Brad Miles,41,Operations,Operations Manager,11,"Project Management, Time Management, Teamwork, Process Improvement",0.71,,
Darrell Nelson,52,Operations,Operations Manager,10,"Project Management, Data Analysis, Time Management, Risk Management",0.71,,
Annette Mcmillan,38,Operations,Logistics Coordinator,3,"Project Management, Teamwork",0.81,,
Amy Johnson,44,Operations,Operations Manager,8,"Risk Management, Data Analysis, Teamwork",0.87,,
Matthew Johnson,26,Logistics,Logistics Coordinator,1,"Inventory Management, Warehouse Management",0.78,,
Ashlee Ruiz,30,Engineering,Senior Engineer,6,"Python, Data Analysis",0.98,,
David Fuller,29,Operations,Logistics Coordinator,2,"Project Management, Teamwork",0.82,,
Levi Nixon,35,Engineering,Senior Engineer,7,"CAD Design, Electrical Engineering, Python, Data Analysis",0.78,,
Andrea Keith,29,Operations,Logistics Coordinator,1,Risk Management,0.94,,
Trevor Jenkins,55,Operations,Operations Manager,11,"Teamwork, Data Analysis, Time Management, Risk Management, Project Management, Process Improvement",0.87,,
Paul Foster,35,Customer Service,Customer Service Executive,3,"Communication, Customer Relationship Management",0.6,,
Melissa Owen,25,IT,IT Support,0,Cybersecurity,0.84,Michael Murphy,
Brianna Sims,40,Operations,Operations Manager,8,"Data Analysis, Process Improvement, Project Management, Teamwork",0.89,,
David Lin,30,Operations,Logistics Coordinator,3,"Process Improvement, Risk Management",0.97,,
Jessica Carlson,34,Customer Service,Customer Service Executive,3,"Teamwork, Customer Relationship Management",0.93,,
Karen Riddle,35,Operations,Logistics Coordinator,4,"Project Management, Process Improvement",0.53,,
Thomas Evans,36,Engineering,Engineer,4,"Java, CAD Design",0.95,,
Marie Combs,50,Operations,Operations Manager,10,"Project Management, Process Improvement, Teamwork, Time Management, Data Analysis",0.5,,
Brian Diaz,29,Engineering,Junior Engineer,0,Data Analysis,0.99,,
Sarah White,32,Engineering,Senior Engineer,7,"CAD Design, Python, Data Analysis, Electrical Engineering",0.51,,
William Sutton,46,Operations,Operations Manager,10,"Process Improvement, Data Analysis, Time Management, Project Management, Risk Management, Teamwork",0.53,,
Michelle Mendez,48,Operations,Operations Manager,8,"Project Management, Risk Management, Data Analysis, Teamwork",0.65,,
Kimberly Jimenez,32,Engineering,Engineer,3,"Systems Engineering, Electrical Engineering",0.99,,
Thomas Blake,26,Engineering,Junior Engineer,1,"CAD Design, Electrical Engineering",0.95,,
Jennifer Thompson,26,Operations,Logistics Coordinator,1,"Risk Management, Time Management",0.8,,
Anne Singh,32,Operations,Operations Manager,7,"Risk Management, Data Analysis, Time Management, Teamwork",0.76,,
Allison Petty,42,Operations,Operations Manager,12,"Teamwork, Data Analysis, Process Improvement, Project Management",0.59,,
Jaime Williams,37,Operations,Operations Manager,7,"Process Improvement, Risk Management, Time Management",0.65,,
Jason Hess,31,Operations,Operations Manager,7,"Time Management, Risk Management, Teamwork",0.52,,
Thomas Galvan,35,Engineering,Senior Engineer,6,"Systems Engineering, CAD Design, Data Analysis",0.87,,
Dennis Anderson,33,Logistics,Logistics Coordinator,4,"Networking, Data Analysis, Inventory Management",0.85,,
Andrew Garcia,30,Operations,Logistics Coordinator,4,"Time Management, Project Management",0.67,,
Heather Jones,25,IT,IT Support,1,"Communication, Java",0.66,,
Robin Cole,25,Engineering,Junior Engineer,0,"Data Analysis, Systems Engineering",0.87,,
Michael Rivera,43,Operations,Operations Manager,11,"Data Analysis, Teamwork, Risk Management, Time Management, Project Management",0.84,,
Jennifer Knight,34,Customer Service,Customer Service Executive,3,"Communication, Customer Relationship Management",0.98,,
Paul Schultz,34,Engineering,Engineer,4,"Java, Python",0.67,,
Scott Henderson,31,Engineering,Senior Engineer,6,"Data Analysis, Systems Engineering, Python",0.93,,
Monica Hobbs,28,Customer Service,Customer Service Executive,1,Communication,0.79,,
Lance Robertson,30,Logistics,Logistics Coordinator,3,"Inventory Management, Warehouse Management, Data Analysis",0.71,,
Tina Drake,39,Operations,Logistics Coordinator,4,"Teamwork, Time Management, Data Analysis",0.7,,
William Wilkinson,38,Engineering,Engineer,3,"Machine Learning, Java, Data Analysis",0.79,,
Jimmy Watts,28,Engineering,Junior Engineer,1,Systems Engineering,0.61,,
Ryan Mccoy,54,Operations,Operations Manager,14,"Time Management, Teamwork, Project Management, Risk Management, Data Analysis",0.82,,
Joyce Dunn,29,Logistics,Logistics Coordinator,1,Communication,0.8,,
David Brown,32,Engineering,Engineer,3,"Python, Machine Learning",0.82,,
Justin Johnson,44,Engineering,Senior Engineer,9,"Python, Data Analysis, CAD Design",0.63,,
Sheri Grimes,29,Logistics,Logistics Coordinator,1,"Data Analysis, Networking",0.96,,
Lisa Sandoval,32,Engineering,Engineer,5,"Systems Engineering, CAD Design, Data Analysis",0.51,,
Richard Swanson,26,Engineering,Junior Engineer,0,Machine Learning,0.6,,
Hailey Gray,44,Operations,Operations Manager,10,"Project Management, Teamwork, Data Analysis, Time Management",0.85,,
Mary Adkins,39,Logistics,Logistics Coordinator,3,"Communication, Warehouse Management, Data Analysis",0.85,,
Gary Cooke,40,Operations,Operations Manager,7,"Process Improvement, Teamwork, Time Management",0.69,,
Nancy Melendez,30,Engineering,Engineer,3,"Python, Java, Machine Learning",0.86,,
Anthony Yates,35,Engineering,Engineer,4,"Systems Engineering, Data Analysis",0.7,,
Melanie Rodriguez,26,Customer Service,Customer Service Executive,1,"Teamwork, Customer Relationship Management",0.79,,
Donald Williams,55,Operations,Operations Manager,13,"Project Management, Risk Management, Time Management, Teamwork, Process Improvement, Data Analysis",0.96,,
Stephanie Hernandez,29,IT,IT Support,1,"Python, Cloud Computing",0.72,,
William Williams,38,Customer Service,Customer Service Executive,3,"Conflict Resolution, Problem Solving",0.71,,
Kevin Jones,36,Operations,Logistics Coordinator,4,"Project Management, Risk Management, Teamwork",0.88,,
Laurie Daniels,34,Operations,Logistics Coordinator,3,"Risk Management, Data Analysis, Teamwork",0.64,,
Edward Goodwin,43,Engineering,Senior Engineer,6,"Machine Learning, Data Analysis",0.77,,
Katherine Rios,39,Engineering,Engineer,3,"Java, Data Analysis, Python",0.71,,
Deborah Gallagher,38,Customer Service,Customer Service Executive,3,"Teamwork, Conflict Resolution, Problem Solving",0.8,,
Denise Williams,39,Engineering,Senior Engineer,7,"Java, Data Analysis, CAD Design",0.69,,
Lisa Anderson,46,Operations,Operations Manager,8,"Time Management, Teamwork, Project Management, Data Analysis",0.5,,
Jack Stevens,27,Engineering,Junior Engineer,1,CAD Design,0.72,,
Jean Jimenez,36,Engineering,Senior Engineer,7,"Python, Electrical Engineering, Systems Engineering, Data Analysis",0.94,,
Carlos Carter,39,Engineering,Engineer,3,"Systems Engineering, Java, Electrical Engineering",0.95,,
Shelly Dennis,25,Customer Service,Customer Service Executive,1,"Conflict Resolution, Customer Relationship Management",0.99,,
Brian Smith,27,Engineering,Junior Engineer,1,Data Analysis,0.57,,
William King,25,Logistics,Logistics Coordinator,2,"Data Analysis, Warehouse Management",0.93,,
Jesus Boyer,29,Customer Service,Customer Service Executive,2,"Customer Relationship Management, Problem Solving",0.91,,
Ryan Watkins,38,Operations,Logistics Coordinator,4,"Time Management, Project Management",0.76,,
Cameron Allen,48,Engineering,Senior Engineer,9,"Data Analysis, Python, Java",0.68,,
Justin Lopez,28,Operations,Logistics Coordinator,2,Data Analysis,0.95,,
Katherine Dominguez,30,Engineering,Engineer,4,"Electrical Engineering, Data Analysis",0.75,,
Thomas Rowland,28,Customer Service,Customer Service Executive,2,"Customer Relationship Management, Conflict Resolution",0.52,,
Susan Warren,33,Operations,Operations Manager,7,"Process Improvement, Time Management, Risk Management, Project Management",0.8,,
Dillon Landry,26,IT,IT Support,2,System Administration,0.61,,
Michael Daniel,48,Operations,Operations Manager,8,"Risk Management, Time Management, Teamwork, Data Analysis",0.93,,
Benjamin Page,26,Engineering,Junior Engineer,0,"Python, CAD Design",0.59,,
Peter Jennings,25,Customer Service,Customer Service Executive,0,"Communication, Customer Relationship Management",0.8,,
Victor Ashley,27,Customer Service,Customer Service Executive,2,Problem Solving,0.96,,
Joshua Melendez,31,Engineering,Senior Engineer,7,"CAD Design, Java, Data Analysis",0.96,,
Dr. Laurie Watson,49,Operations,Operations Manager,10,"Time Management, Data Analysis, Teamwork, Project Management, Process Improvement, Risk Management",0.5,,
Susan Barker,32,Operations,Logistics Coordinator,3,"Risk Management, Data Analysis",1.0,,
Mark Lynn,25,IT,IT Support,2,System Administration,0.74,,
David Collins,25,IT,IT Support,0,"Python, Networking",0.54,,
Valerie Warren,25,Customer Service,Customer Service Executive,2,"Conflict Resolution, Customer Relationship Management",0.88,,
Brandi Carter,26,Engineering,Junior Engineer,2,"Machine Learning, Java",0.77,,
Jacob Martin,29,Customer Service,Customer Service Executive,1,Conflict Resolution,0.69,,
Robin Mcdonald,29,Logistics,Logistics Coordinator,1,Supply Chain Management,0.67,,
Brandon Allen,32,Logistics,Logistics Coordinator,3,"Networking, Supply Chain Management",1.0,,
William Brown,25,IT,IT Support,0,Cloud Computing,0.98,,
Laura Campbell,26,Customer Service,Customer Service Executive,1,Communication,0.72,,
Melissa Flores,39,Engineering,Engineer,4,"Python, Systems Engineering, Machine Learning",0.64,,
Christopher Macdonald,26,Operations,Logistics Coordinator,1,"Data Analysis, Process Improvement",0.86,,
Jessica Lambert,29,Customer Service,Customer Service Executive,0,Problem Solving,0.66,,
Tara Garcia,25,Engineering,Junior Engineer,1,"Systems Engineering, Electrical Engineering",0.86,,
Gabriela Brown,44,Engineering,Senior Engineer,7,"Java, Electrical Engineering, Systems Engineering",0.97,,
Sarah Hunt,34,Operations,Logistics Coordinator,3,"Teamwork, Project Management",0.78,,
Gary Harris,38,Logistics,Logistics Coordinator,3,"Networking, Communication",0.64,,
Michael Austin,45,Operations,Operations Manager,12,"Risk Management, Project Management, Teamwork, Time Management, Process Improvement",0.7,,
James Martinez,26,Customer Service,Customer Service Executive,2,Customer Relationship Management,0.53,,
Mary Brewer,38,Operations,Logistics Coordinator,3,"Project Management, Time Management",0.62,,
Nancy Bowen,31,Logistics,Logistics Coordinator,3,"Supply Chain Management, Networking, Inventory Management",0.85,,
Justin Everett,33,Operations,Logistics Coordinator,4,"Data Analysis, Time Management, Project Management",0.7,,
Elizabeth Austin,35,Engineering,Engineer,5,"Electrical Engineering, Systems Engineering",0.94,,
Brittany Smith,36,Logistics,Logistics Coordinator,4,"Data Analysis, Networking, Supply Chain Management",0.77,,
Tracey Rogers,35,Logistics,Logistics Coordinator,4,"Warehouse Management, Inventory Management",0.64,,
Alexandra Lane,30,Logistics,Logistics Coordinator,3,"Inventory Management, Data Analysis, Warehouse Management",0.95,,
Joseph Watts,35,Operations,Logistics Coordinator,4,"Data Analysis, Project Management, Risk Management",0.96,,
Katrina Daniels,40,Operations,Operations Manager,10,"Teamwork, Process Improvement, Time Management, Risk Management, Project Management",0.91,,
Ann Morrison,29,Customer Service,Customer Service Executive,0,Problem Solving,0.66,,
Victoria Rivera,52,Operations,Operations Manager,14,"Risk Management, Time Management, Data Analysis, Process Improvement, Project Management",0.78,,
Tyler Perez,31,Engineering,Senior Engineer,6,"Java, Electrical Engineering, Data Analysis",0.53,,
Matthew Gomez,46,Operations,Operations Manager,10,"Risk Management, Data Analysis, Process Improvement, Project Management",0.95,,
Christina Maynard,52,Operations,Operations Manager,14,"Project Management, Process Improvement, Time Management, Data Analysis, Risk Management",0.82,,
Charles Brown,32,Operations,Logistics Coordinator,4,"Project Management, Risk Management",0.71,,
Kimberly Murphy,42,Operations,Operations Manager,10,"Teamwork, Data Analysis, Process Improvement, Project Management, Time Management, Risk Management",0.52,,
Don Benton,25,Operations,Logistics Coordinator,2,Teamwork,0.78,,
Michelle Martinez,48,Engineering,Senior Engineer,7,"Systems Engineering, Data Analysis, CAD Design",0.7,,
Caitlin Schmidt,49,Engineering,Senior Engineer,9,"Python, Electrical Engineering, Java",0.91,,
Jesse Walsh,26,IT,IT Support,1,"Python, Networking",0.77,,
Daniel Logan,27,Engineering,Junior Engineer,1,"Machine Learning, Data Analysis",0.62,,
Katrina Sullivan,41,Engineering,Senior Engineer,9,"Java, Data Analysis, Machine Learning",0.99,,
Aaron Owens,37,Engineering,Engineer,5,"Electrical Engineering, Java",0.77,,
Sherri Tanner,39,Engineering,Engineer,4,"CAD Design, Data Analysis, Python",0.99,,
Amy Murray,35,Engineering,Engineer,5,"CAD Design, Systems Engineering, Java",0.83,,
John Davenport Jr.,28,Customer Service,Customer Service Executive,0,Teamwork,0.93,,
Karen Moore,37,Customer Service,Customer Service Executive,3,"Customer Relationship Management, Communication, Teamwork",0.61,,
Chad Foster,40,Operations,Operations Manager,9,"Process Improvement, Risk Management, Time Management, Data Analysis",0.71,,
Amanda Russell,39,Customer Service,Customer Service Executive,3,"Teamwork, Customer Relationship Management",0.84,,
Anthony Ali,34,Engineering,Engineer,3,"Electrical Engineering, CAD Design, Systems Engineering",0.83,,
Derek Warner,42,Operations,Operations Manager,9,"Project Management, Teamwork, Time Management, Data Analysis",0.65,,
Mary Mcdonald,32,Engineering,Engineer,4,"Python, Data Analysis, Systems Engineering",0.8,,
Deborah Clark,36,Logistics,Logistics Coordinator,4,"Warehouse Management, Data Analysis",0.77,,
Roberto Branch,37,Engineering,Senior Engineer,7,"Data Analysis, Electrical Engineering, Machine Learning, Systems Engineering",0.57,,
Jonathan Young,39,Engineering,Engineer,4,"Machine Learning, Python, CAD Design",0.76,,
Christopher Hall DDS,28,Customer Service,Customer Service Executive,0,Teamwork,0.73,,
Anne Wood,29,Engineering,Junior Engineer,2,"CAD Design, Machine Learning",0.58,,
Shannon Nguyen,47,Operations,Operations Manager,8,"Process Improvement, Risk Management, Data Analysis, Project Management",0.5,,
Troy Wolfe,27,Logistics,Logistics Coordinator,1,Warehouse Management,0.95,,
Victor Chandler,39,Engineering,Senior Engineer,6,"CAD Design, Machine Learning, Electrical Engineering",0.51,,
Jasmin King,48,Operations,Operations Manager,9,"Project Management, Time Management, Risk Management",0.87,,
Heather Fox,29,IT,IT Support,0,"Cybersecurity, Communication",0.77,,
Jamie Bray DDS,44,Operations,Operations Manager,8,"Project Management, Risk Management, Teamwork, Time Management",0.61,,
Katherine Manning,25,Engineering,Junior Engineer,0,Systems Engineering,0.84,,
Ann Acosta,25,Customer Service,Customer Service Executive,0,Conflict Resolution,0.74,,
Nicholas Wagner,33,Engineering,Engineer,5,"Java, Python, Data Analysis",0.71,,
Lee Camacho,25,Customer Service,Customer Service Executive,1,"Conflict Resolution, Customer Relationship Management",0.89,,
Ariel Salazar,27,Customer Service,Customer Service Executive,2,Customer Relationship Management,0.88,,
Jose Gonzales,34,Engineering,Engineer,5,"CAD Design, Data Analysis, Python",0.97,,
Edward Brown,49,Engineering,Senior Engineer,8,"Python, Java, Data Analysis",0.67,,
Marvin Bowman,47,Operations,Operations Manager,10,"Process Improvement, Project Management, Risk Management, Time Management, Teamwork, Data Analysis",0.64,,
Kevin Carlson,26,Customer Service,Customer Service Executive,0,"Problem Solving, Conflict Resolution",0.95,,
Kimberly Meyer,27,Engineering,Junior Engineer,2,Systems Engineering,0.99,,
Steven Moss,35,Logistics,Logistics Coordinator,3,"Data Analysis, Supply Chain Management, Inventory Management",0.71,,
Robert Willis,36,Logistics,Logistics Coordinator,4,"Warehouse Management, Networking, Supply Chain Management",0.65,,
Sarah Meyer,25,Logistics,Logistics Coordinator,1,"Networking, Warehouse Management",0.84,,
Keith Foster,31,Engineering,Engineer,4,"Electrical Engineering, CAD Design",0.77,,
Kristin Thornton,25,Customer Service,Customer Service Executive,1,Conflict Resolution,0.79,,
Reginald Morgan,45,Operations,Operations Manager,12,"Project Management, Risk Management, Teamwork, Process Improvement",0.64,,
Andrew Lopez,26,Customer Service,Customer Service Executive,0,Problem Solving,0.6,,
Kimberly Johnson,25,Engineering,Junior Engineer,1,Machine Learning,0.85,,
Randy Duncan,28,Customer Service,Customer Service Executive,1,Customer Relationship Management,0.83,,
Jessica Rodriguez,29,IT,IT Support,0,System Administration,0.52,,
Matthew Nichols,46,Operations,Operations Manager,9,"Risk Management, Data Analysis, Teamwork, Project Management",0.58,,
Kylie Lee,38,Operations,Logistics Coordinator,3,"Teamwork, Data Analysis",0.52,,
Victor Vargas,51,Operations,Operations Manager,11,"Teamwork, Time Management, Data Analysis, Process Improvement, Project Management",0.66,,
Billy Garza,45,Engineering,Senior Engineer,7,"CAD Design, Python, Machine Learning",0.54,,
Patrick Cain,38,Engineering,Engineer,4,"Python, Machine Learning, Systems Engineering",0.65,,
Justin Long,44,Operations,Operations Manager,8,"Data Analysis, Process Improvement, Project Management",0.6,,
Tammie Vasquez,43,Engineering,Senior Engineer,8,"Java, CAD Design, Systems Engineering, Electrical Engineering",0.83,,
Jodi Mason,27,Operations,Logistics Coordinator,1,Project Management,0.95,,
Sarah Johnston DDS,36,Customer Service,Customer Service Executive,3,"Teamwork, Customer Relationship Management, Conflict Resolution",0.54,,
Richard Ramos,45,Operations,Operations Manager,8,"Risk Management, Project Management, Time Management",0.59,,
Tina Ward,50,Operations,Operations Manager,11,"Project Management, Data Analysis, Process Improvement, Time Management",0.51,,
Albert Jackson,49,Operations,Operations Manager,9,"Teamwork, Data Analysis, Risk Management, Process Improvement",0.86,,
Miguel Foster,41,Engineering,Senior Engineer,6,"Java, Electrical Engineering, Python",0.75,,
Rebecca Blair,51,Operations,Operations Manager,14,"Risk Management, Project Management, Data Analysis, Teamwork, Time Management, Process Improvement",0.68,,
Allen Wilson,48,Engineering,Senior Engineer,6,"CAD Design, Data Analysis",0.58,,
Nicholas Davis,54,Operations,Operations Manager,13,"Data Analysis, Project Management, Teamwork, Process Improvement",0.91,,
Christina Barber,47,Operations,Operations Manager,7,"Time Management, Teamwork, Risk Management",0.91,,
Kimberly Carrillo,33,Engineering,Senior Engineer,6,"Java, Electrical Engineering, Data Analysis",0.77,,
John Hodge,37,Engineering,Senior Engineer,7,"Data Analysis, Python, Systems Engineering, Electrical Engineering",0.58,,
Sean Lynch,45,Operations,Operations Manager,10,"Risk Management, Time Management, Teamwork, Data Analysis",0.85,,
Cynthia Alvarado,49,Engineering,Senior Engineer,9,"Systems Engineering, Electrical Engineering, CAD Design",0.71,,
Mr. Jesse Jordan,29,IT,IT Support,2,"Networking, Cybersecurity",0.79,,
Daniel Gilbert,26,Operations,Logistics Coordinator,2,"Data Analysis, Risk Management",0.87,,
John Luna,54,Operations,Operations Manager,10,"Risk Management, Time Management, Project Management, Process Improvement",0.82,,
Terry Delgado,31,Engineering,Engineer,5,"Machine Learning, Electrical Engineering",0.59,,
Briana Bridges,34,Customer Service,Customer Service Executive,3,"Teamwork, Problem Solving, Conflict Resolution",0.97,,
Heather Marshall,25,Customer Service,Customer Service Executive,0,Customer Relationship Management,0.84,,
Billy Davis,28,IT,IT Support,1,System Administration,0.53,,
William Sosa,39,Engineering,Engineer,5,"Electrical Engineering, Systems Engineering, CAD Design",0.9,,
Tonya Ramirez,31,Operations,Logistics Coordinator,3,"Data Analysis, Process Improvement, Time Management",0.73,,
Jennifer Larson,45,Operations,Operations Manager,11,"Data Analysis, Project Management, Risk Management, Time Management",0.76,,
Joshua Owens,25,Logistics,Logistics Coordinator,1,"Warehouse Management, Networking",0.88,,
Christina Montgomery,31,Engineering,Engineer,3,"Python, Systems Engineering",0.86,,
Emily Sanchez,30,Logistics,Logistics Coordinator,4,"Warehouse Management, Supply Chain Management",0.82,,
James Miller,38,Engineering,Engineer,5,"Machine Learning, Systems Engineering, Data Analysis",0.73,,
Kevin Travis,46,Engineering,Senior Engineer,6,"Java, CAD Design, Data Analysis",0.91,,
Kirsten Perry,39,Operations,Logistics Coordinator,4,"Time Management, Teamwork, Process Improvement",0.97,,
Donna Parker,27,IT,IT Support,1,Networking,0.98,,
Jennifer Delacruz,49,Engineering,Senior Engineer,6,"Data Analysis, Java",0.78,,
Christopher Parsons,26,Logistics,Logistics Coordinator,2,Data Analysis,0.91,,
Bryan Williamson,45,Engineering,Senior Engineer,8,"Electrical Engineering, Machine Learning, Systems Engineering, Data Analysis",0.69,,
Alexander Smith,45,Operations,Operations Manager,8,"Data Analysis, Risk Management, Time Management",0.71,,
Ronald Anderson,31,Engineering,Senior Engineer,7,"Machine Learning, Data Analysis, Systems Engineering",0.78,,
Randy Campbell,30,Engineering,Senior Engineer,6,"Java, Systems Engineering",0.63,,
Chris Green,27,IT,IT Support,2,Python,0.72,,
Dawn Roberts,41,Operations,Operations Manager,7,"Data Analysis, Teamwork, Risk Management, Time Management",0.63,,
Ricky Park,25,Engineering,Junior Engineer,0,"Java, Python",0.9,,
John Anderson,28,IT,IT Support,1,"Cybersecurity, Java",0.52,,
Toni Robinson,40,Operations,Operations Manager,10,"Time Management, Risk Management, Process Improvement, Data Analysis",0.57,,
Nicholas Moody,31,Logistics,Logistics Coordinator,4,"Inventory Management, Warehouse Management",0.71,,
Alicia Perez,55,Operations,Operations Manager,12,"Process Improvement, Project Management, Time Management, Risk Management, Teamwork, Data Analysis",0.6,,
Diana Rodgers,26,Logistics,Logistics Coordinator,2,Supply Chain Management,0.78,,
John Black,29,Customer Service,Customer Service Executive,2,"Customer Relationship Management, Teamwork",0.99,,
Jennifer Ellis,37,Engineering,Senior Engineer,6,"Data Analysis, Machine Learning, Python",0.58,,
Timothy Mcdonald,25,IT,IT Support,2,"System Administration, Cybersecurity",0.63,,
Jonathan Burke,45,Engineering,Senior Engineer,6,"Systems Engineering, CAD Design",0.64,,
Michelle Perry,34,Customer Service,Customer Service Executive,3,"Teamwork, Problem Solving",0.92,,
Emily Jennings,27,Customer Service,Customer Service Executive,2,"Communication, Problem Solving",0.85,,
Kathryn Rice,33,Customer Service,Customer Service Executive,3,"Conflict Resolution, Teamwork, Communication",0.57,,
Stacy Hill,33,Operations,Logistics Coordinator,3,"Risk Management, Teamwork, Process Improvement",0.64,,
Michael James,54,Operations,Operations Manager,11,"Process Improvement, Project Management, Time Management, Teamwork, Risk Management, Data Analysis",0.64,,
Chloe Brown,25,Engineering,Junior Engineer,1,"Electrical Engineering, Python",0.92,,
Alexander Daniel,27,Engineering,Junior Engineer,2,"CAD Design, Java",0.63,,
Kara Vazquez,36,Engineering,Senior Engineer,6,"Python, CAD Design",0.59,,
Rebecca Cannon,25,IT,IT Support,1,Python,0.51,,
John Orr,34,Operations,Logistics Coordinator,4,"Risk Management, Data Analysis, Teamwork",0.67,,
Julia Johnson,44,Engineering,Senior Engineer,9,"Java, CAD Design, Data Analysis, Machine Learning",0.92,,
Joshua Mcguire,35,Engineering,Engineer,4,"Data Analysis, Systems Engineering, CAD Design",0.62,,
