Name,Age,Department,Role,Years_of_Experience,Skillset,Project_Success_Rate,Mentor,Mentee
Keith Johnson,27,IT,IT Support,2,"System Administration, Communication",0.71,,NA
Thomas James,28,IT,IT Support,1,"Networking, System Administration",0.94,,NA
Matthew Hall,29,IT,IT Support,0,"Networking, Python",0.57,,NA
Katherine Cuevas,42,Engineering,Senior Engineer,8,"Data Analysis, Python, CAD Design",0.7,NA,
Theresa Greer,39,Logistics,Logistics Coordinator,4,"Communication, Inventory Management, Warehouse Management",0.84,,NA
Brian Neal,33,Operations,Logistics Coordinator,4,"Project Management, Teamwork",0.96,,NA
Zoe Griffin,48,Operations,Operations Manager,12,"Risk Management, Process Improvement, Data Analysis, Teamwork",0.51,NA,
Carrie Lewis,26,IT,IT Support,1,"Python, Networking",0.79,,NA
Richard Bennett,46,Operations,Operations Manager,11,"Project Management, Teamwork, Data Analysis, Process Improvement",0.72,NA,
Amber Brooks,46,Operations,Operations Manager,10,"Project Management, Risk Management, Process Improvement, Time Management",0.97,NA,
Troy Kline,29,IT,IT Support,2,"Cloud Computing, Python",0.58,,NA
Andrew Rodriguez,31,Operations,Logistics Coordinator,4,"Risk Management, Time Management, Project Management",0.6,,NA
Melissa Evans,29,Operations,Logistics Coordinator,2,"Teamwork, Data Analysis",0.99,,NA
Anna Duncan,39,Operations,Logistics Coordinator,4,"Risk Management, Data Analysis",0.87,,NA
Jamie Mccarty,33,Engineering,Senior Engineer,7,"Data Analysis, Python, Systems Engineering",0.79,NA,
Megan Miller,28,Engineering,Junior Engineer,0,"Java, Machine Learning",0.83,,NA
Thomas Williams,53,Operations,Operations Manager,10,"Teamwork, Project Management, Time Management, Risk Management",0.86,NA,
April Spencer,31,Customer Service,Customer Service Executive,3,"Customer Relationship Management, Communication",0.53,,NA
Julian Wolf,53,Operations,Operations Manager,10,"Teamwork, Risk Management, Process Improvement, Time Management, Data Analysis, Project Management",0.81,NA,
Dr. Tyler Turner,28,IT,IT Support,1,Communication,0.52,,NA
Lori Moore,28,Engineering,Junior Engineer,1,Data Analysis,0.74,,NA
Mark Mcintyre,26,IT,IT Support,1,"Communication, System Administration",0.63,,NA
Joseph Young,49,Operations,Operations Manager,7,"Project Management, Time Management, Risk Management, Data Analysis",0.82,NA,
Brandon Hill,45,Operations,Operations Manager,8,"Data Analysis, Process Improvement, Teamwork, Project Management",0.7,NA,
Phillip Phillips,41,Operations,Operations Manager,10,"Teamwork, Data Analysis, Project Management, Risk Management",0.98,NA,
John Tucker,34,Logistics,Logistics Coordinator,4,"Communication, Supply Chain Management",0.76,,NA
Alyssa Huynh,43,Operations,Operations Manager,11,"Project Management, Teamwork, Process Improvement, Time Management",0.82,NA,
Jessica Levine,27,IT,IT Support,0,"Cybersecurity, System Administration",0.76,,NA
Kenneth Reed,26,Operations,Logistics Coordinator,1,"Teamwork, Data Analysis",0.68,,NA
Kevin Hughes,43,Operations,Operations Manager,9,"Project Management, Teamwork, Process Improvement",0.91,NA,
David Trujillo,36,Engineering,Engineer,3,"Electrical Engineering, CAD Design, Machine Learning",0.64,,NA
Ethan Nichols,29,Customer Service,Customer Service Executive,1,"Customer Relationship Management, Problem Solving",0.98,,NA
Hannah Brown,27,Customer Service,Customer Service Executive,1,Communication,0.78,,NA
Linda Allen,32,Logistics,Logistics Coordinator,3,"Data Analysis, Communication",0.87,,NA
James Allison,40,Operations,Operations Manager,9,"Project Management, Risk Management, Process Improvement, Data Analysis",0.69,NA,
Carlos Price,28,IT,IT Support,1,"Cybersecurity, Cloud Computing",0.65,,NA
Cindy Martinez PhD,31,Engineering,Engineer,5,"CAD Design, Data Analysis",0.78,NA,
Kathleen Craig,33,Engineering,Engineer,3,"Electrical Engineering, Python, Systems Engineering",0.72,,NA
Bryan Garcia,40,Operations,Operations Manager,7,"Risk Management, Time Management, Project Management, Teamwork",0.7,NA,
Gregory Jones,25,Engineering,Junior Engineer,1,"Python, Java",0.94,,NA
Mrs. Pamela Salas DVM,25,Logistics,Logistics Coordinator,2,Networking,0.65,,NA
Michael Robinson,36,Operations,Operations Manager,7,"Data Analysis, Project Management, Time Management",0.95,NA,
Austin Richardson,38,Logistics,Logistics Coordinator,4,"Data Analysis, Networking, Inventory Management",0.89,,NA
Gregory Fleming,45,Operations,Operations Manager,10,"Data Analysis, Process Improvement, Time Management, Teamwork, Project Management",0.88,NA,
Jason Smith,37,Engineering,Engineer,5,"Python, Java",0.54,NA,
Greg Simmons,30,Operations,Logistics Coordinator,3,"Project Management, Time Management",0.5,,NA
Katherine Cobb,44,Operations,Operations Manager,10,"Data Analysis, Risk Management, Teamwork, Process Improvement",0.78,NA,
Stephanie Cole,53,Operations,Operations Manager,12,"Data Analysis, Risk Management, Process Improvement, Project Management, Teamwork",0.75,NA,
Arthur Dixon,35,Operations,Operations Manager,7,"Project Management, Risk Management, Data Analysis",0.77,NA,
Ryan Sharp,25,Logistics,Logistics Coordinator,2,Supply Chain Management,0.67,,NA
Mr. Michael Nelson,25,Operations,Logistics Coordinator,1,Teamwork,0.71,,NA
Scott Valdez DVM,35,Operations,Logistics Coordinator,3,"Teamwork, Data Analysis",0.94,,NA
Mr. Timothy Rios,38,Logistics,Logistics Coordinator,3,"Data Analysis, Inventory Management, Communication",0.67,,NA
Joan Miller,28,Engineering,Junior Engineer,1,"Python, Systems Engineering",0.65,,NA
David Combs,27,Logistics,Logistics Coordinator,1,"Inventory Management, Data Analysis",0.78,,NA
John Kelley,25,Operations,Logistics Coordinator,2,Risk Management,0.91,,NA
Andrew Johnson,28,IT,IT Support,1,Cybersecurity,0.97,,NA
Donna Cole,29,IT,IT Support,2,System Administration,0.62,,NA
James Reed,29,IT,IT Support,1,"Cybersecurity, Networking",0.82,,NA
Megan Nguyen,35,Engineering,Engineer,4,"Python, CAD Design, Systems Engineering",0.96,,NA
Jacob Stone,40,Operations,Operations Manager,7,"Data Analysis, Process Improvement, Risk Management",0.66,NA,
Thomas Martin,34,Logistics,Logistics Coordinator,4,"Communication, Networking, Data Analysis",0.97,,NA
Melissa Shepherd,42,Operations,Operations Manager,12,"Teamwork, Data Analysis, Time Management, Process Improvement, Project Management",0.54,NA,
David Johnson,25,IT,IT Support,2,Networking,0.59,,NA
Donald Mcintosh,28,Engineering,Junior Engineer,2,Systems Engineering,0.85,,NA
Jennifer Hansen,37,Operations,Operations Manager,7,"Data Analysis, Time Management, Teamwork",0.66,NA,
Debbie Serrano,26,IT,IT Support,2,"Cybersecurity, System Administration",0.91,,NA
Sara Allen,28,Operations,Logistics Coordinator,1,Project Management,0.83,,NA
Deanna Young,27,IT,IT Support,0,Python,0.88,,NA
Brandon Davis,35,Engineering,Senior Engineer,6,"Java, Machine Learning, Data Analysis",0.5,NA,
John Sherman,39,Engineering,Engineer,4,"Electrical Engineering, Python",0.8,,NA
Brittany Barnes,49,Engineering,Senior Engineer,7,"Python, Java, Machine Learning, CAD Design",0.81,NA,
Megan Moore,31,Logistics,Logistics Coordinator,3,"Communication, Inventory Management",0.99,,NA
Judith Salinas,34,Customer Service,Customer Service Executive,3,"Communication, Conflict Resolution",0.67,,NA
Brian Dickerson,29,Logistics,Logistics Coordinator,2,Supply Chain Management,0.52,,NA
Benjamin Gamble,44,Operations,Operations Manager,7,"Teamwork, Project Management, Process Improvement",0.74,NA,
Daniel Mckinney,28,IT,IT Support,0,System Administration,0.6,,NA
Samantha Ramirez,42,Operations,Operations Manager,7,"Project Management, Time Management, Process Improvement",0.75,NA,
Kevin Grimes,30,Operations,Logistics Coordinator,3,"Time Management, Teamwork",0.55,,NA
Jill Thompson,30,Engineering,Engineer,5,"CAD Design, Systems Engineering, Electrical Engineering",0.7,NA,
Charles Kidd,34,Engineering,Engineer,4,"Systems Engineering, Java, Electrical Engineering",0.63,,NA
Lisa Levine,36,Engineering,Senior Engineer,6,"Machine Learning, Systems Engineering, Electrical Engineering",0.94,NA,
Kristen Oconnell,27,Logistics,Logistics Coordinator,2,Supply Chain Management,0.91,,NA
Charles Hodges,25,Engineering,Junior Engineer,1,"Machine Learning, Systems Engineering",0.83,,NA
Angie Turner,26,IT,IT Support,2,Cloud Computing,0.86,,NA
Monique King,42,Engineering,Senior Engineer,9,"Java, Data Analysis, Machine Learning, CAD Design",0.86,NA,
Nicolas Baker,25,Customer Service,Customer Service Executive,0,Communication,0.84,,NA
Erin Eaton,48,Operations,Operations Manager,11,"Data Analysis, Risk Management, Process Improvement, Teamwork, Project Management, Time Management",0.66,NA,
Dr. Michelle Smith,40,Operations,Operations Manager,8,"Teamwork, Risk Management, Process Improvement, Project Management",0.95,NA,
Alan Gill,25,Operations,Logistics Coordinator,2,"Risk Management, Process Improvement",0.76,,NA
Shawn Davis,25,Operations,Logistics Coordinator,1,Data Analysis,0.76,,NA
Jennifer Fisher,35,Engineering,Senior Engineer,6,"Python, Electrical Engineering, Systems Engineering",0.7,NA,
Daniel Bailey,28,IT,IT Support,2,"Communication, Networking",0.98,,NA
Spencer Andrews,32,Logistics,Logistics Coordinator,3,"Warehouse Management, Networking",0.96,,NA
Samantha Webb,35,Customer Service,Customer Service Executive,3,"Conflict Resolution, Customer Relationship Management",0.51,,NA
Johnny Moran,44,Operations,Operations Manager,9,"Process Improvement, Project Management, Teamwork, Time Management",0.71,NA,
Michael Daniels,27,Engineering,Junior Engineer,1,"Electrical Engineering, Systems Engineering",0.58,,NA
Kiara Roman,30,Operations,Logistics Coordinator,3,"Project Management, Risk Management",0.67,,NA
Shawn Robertson,37,Engineering,Engineer,5,"Systems Engineering, Data Analysis, Python",0.53,NA,
Miguel Gonzalez,42,Engineering,Senior Engineer,8,"CAD Design, Data Analysis, Systems Engineering, Electrical Engineering",0.91,NA,
Virginia Stevens,35,Engineering,Engineer,4,"Machine Learning, Systems Engineering",0.55,,NA
Mr. David Rios,28,Engineering,Junior Engineer,1,Python,0.82,,NA
Melissa Padilla,32,Engineering,Senior Engineer,6,"Systems Engineering, CAD Design",0.88,NA,
Jessica Hart,44,Operations,Operations Manager,9,"Teamwork, Time Management, Project Management, Data Analysis",0.6,NA,
Catherine Swanson,45,Operations,Operations Manager,12,"Data Analysis, Time Management, Teamwork, Risk Management, Project Management, Process Improvement",0.99,NA,
Danielle Wheeler,44,Operations,Operations Manager,11,"Teamwork, Project Management, Process Improvement, Risk Management, Data Analysis",0.66,NA,
Michelle Mitchell,45,Engineering,Senior Engineer,8,"Data Analysis, Python, Systems Engineering",0.59,NA,
Lindsay Anderson,26,Logistics,Logistics Coordinator,1,Supply Chain Management,0.54,,NA
Stephen Bishop,34,Engineering,Senior Engineer,6,"Machine Learning, Data Analysis, Systems Engineering",0.94,NA,
Billy Lewis,27,Engineering,Junior Engineer,0,Machine Learning,0.59,,NA
Anthony Bell,37,Engineering,Engineer,4,"Systems Engineering, Python, Java",0.66,,NA
Samuel Escobar,34,Logistics,Logistics Coordinator,4,"Data Analysis, Warehouse Management",0.91,,NA
Rachael Young,29,Customer Service,Customer Service Executive,2,Customer Relationship Management,0.61,,NA
Vernon Hill,37,Operations,Logistics Coordinator,4,"Project Management, Teamwork, Time Management",0.64,,NA
Matthew Harvey,25,IT,IT Support,0,"Networking, System Administration",0.61,,NA
Sarah Schroeder,44,Operations,Operations Manager,7,"Risk Management, Project Management, Data Analysis",0.85,NA,
Robert Campbell,45,Operations,Operations Manager,9,"Risk Management, Teamwork, Time Management, Data Analysis",0.51,NA,
Allison Wells,28,Customer Service,Customer Service Executive,2,Customer Relationship Management,0.55,,NA
Samantha Porter,48,Engineering,Senior Engineer,7,"Data Analysis, Python, CAD Design",0.62,NA,
Nicholas Peters,35,Operations,Logistics Coordinator,3,"Data Analysis, Project Management, Process Improvement",0.88,,NA
Brandy Holmes,46,Operations,Operations Manager,9,"Process Improvement, Data Analysis, Time Management, Teamwork",0.84,NA,
Michelle Miller,26,Logistics,Logistics Coordinator,2,"Inventory Management, Communication",0.66,,NA
Ricardo Green,42,Operations,Operations Manager,8,"Data Analysis, Teamwork, Risk Management, Process Improvement",0.54,NA,
Courtney Arellano MD,31,Operations,Operations Manager,7,"Teamwork, Risk Management, Process Improvement, Time Management",0.76,NA,
William Wheeler,48,Operations,Operations Manager,9,"Project Management, Data Analysis, Process Improvement, Risk Management",0.86,NA,
Andrew Palmer,48,Operations,Operations Manager,8,"Teamwork, Process Improvement, Time Management",0.88,NA,
Alicia Myers,26,Engineering,Junior Engineer,1,Java,0.76,,NA
Wendy Warner,28,Operations,Logistics Coordinator,2,"Teamwork, Process Improvement",0.52,,NA
Daniel Stephenson,39,Operations,Operations Manager,7,"Data Analysis, Time Management, Teamwork, Process Improvement",0.73,NA,
Thomas Brown,36,Logistics,Logistics Coordinator,4,"Inventory Management, Supply Chain Management, Communication",0.91,,NA
Chad Campbell,53,Operations,Operations Manager,12,"Time Management, Project Management, Teamwork, Risk Management, Process Improvement",0.85,NA,
Cindy Miller,29,Engineering,Junior Engineer,0,"Machine Learning, Data Analysis",0.7,,NA
Alyssa Padilla,26,Customer Service,Customer Service Executive,0,"Problem Solving, Conflict Resolution",0.62,,NA
Jeffrey Zimmerman,45,Operations,Operations Manager,9,"Project Management, Process Improvement, Time Management, Data Analysis",0.74,NA,
Kathryn Pierce,33,Operations,Operations Manager,7,"Process Improvement, Data Analysis, Project Management",0.6,NA,
Heather Jones,41,Engineering,Senior Engineer,7,"Machine Learning, Systems Engineering, Electrical Engineering",0.63,NA,
Lydia Lopez,47,Engineering,Senior Engineer,9,"Systems Engineering, Electrical Engineering, Machine Learning, Python",0.61,NA,
Alicia Smith,26,Engineering,Junior Engineer,2,"CAD Design, Systems Engineering",0.66,,NA
Morgan Harris,45,Engineering,Senior Engineer,7,"CAD Design, Electrical Engineering, Data Analysis",0.58,NA,
Victor Ramirez,34,Engineering,Senior Engineer,7,"Data Analysis, Java, CAD Design, Machine Learning",0.62,NA,
Kimberly Sutton,40,Engineering,Senior Engineer,9,"Machine Learning, Systems Engineering, Data Analysis",0.79,NA,
William Reyes,37,Engineering,Senior Engineer,7,"Data Analysis, Java, Python, CAD Design",0.5,NA,
Meghan Murphy,29,IT,IT Support,0,"Python, Java",0.74,,NA
Mrs. Courtney Blevins DDS,37,Engineering,Senior Engineer,7,"Machine Learning, Systems Engineering, Python",0.97,NA,
Christine Norton,27,Engineering,Junior Engineer,1,Java,0.78,,NA
Wayne Jacobson,43,Engineering,Senior Engineer,9,"Python, CAD Design, Systems Engineering, Java",0.97,NA,
Zachary Alvarado,45,Engineering,Senior Engineer,9,"Python, CAD Design, Data Analysis, Electrical Engineering",0.94,NA,
Katherine Dean,28,Logistics,Logistics Coordinator,2,"Supply Chain Management, Inventory Management",0.58,,NA
Christopher Reyes,30,Engineering,Engineer,4,"Systems Engineering, Machine Learning, Python",0.82,,NA
Kathryn Jackson,38,Engineering,Engineer,5,"Data Analysis, Machine Learning, Java",0.75,NA,
Andrea Howard,27,Operations,Logistics Coordinator,2,Project Management,0.84,,NA
Charles Evans,35,Engineering,Senior Engineer,7,"CAD Design, Systems Engineering, Data Analysis, Python",0.88,NA,
Sherry Cohen DVM,29,Operations,Logistics Coordinator,1,"Teamwork, Time Management",0.67,,NA
Anna Schmidt,37,Logistics,Logistics Coordinator,4,"Data Analysis, Supply Chain Management",0.84,,NA
Joseph Johnson,29,Customer Service,Customer Service Executive,1,"Teamwork, Communication",0.96,,NA
Cheryl Ingram,38,Engineering,Engineer,4,"Electrical Engineering, Systems Engineering",0.87,,NA
Jason Clark,34,Customer Service,Customer Service Executive,3,"Communication, Problem Solving, Customer Relationship Management",0.95,,NA
Laura Harrington,47,Engineering,Senior Engineer,6,"Electrical Engineering, Data Analysis, CAD Design",0.77,NA,
Nicholas Duarte,27,Customer Service,Customer Service Executive,2,Conflict Resolution,0.5,,NA
Leslie Johnson,42,Operations,Operations Manager,12,"Project Management, Process Improvement, Data Analysis, Risk Management, Time Management",0.94,NA,
Valerie Gilbert,27,Operations,Logistics Coordinator,2,"Risk Management, Process Improvement",0.76,,NA
Julie Medina,27,IT,IT Support,2,"Networking, Communication",0.68,,NA
Leonard Murphy,33,Operations,Operations Manager,7,"Data Analysis, Teamwork, Project Management",0.69,NA,
Faith Hale,55,Operations,Operations Manager,12,"Process Improvement, Teamwork, Data Analysis, Project Management, Time Management",0.77,NA,
Joshua Becker,26,Operations,Logistics Coordinator,1,Process Improvement,0.81,,NA
Natalie Shelton,40,Operations,Operations Manager,10,"Process Improvement, Project Management, Time Management, Teamwork, Risk Management",0.51,NA,
Cynthia Liu,26,Logistics,Logistics Coordinator,1,Networking,0.96,,NA
Kristin Ortiz,43,Operations,Operations Manager,12,"Teamwork, Project Management, Risk Management, Time Management",0.88,NA,
Jeffrey Atkinson,37,Engineering,Engineer,5,"Systems Engineering, Data Analysis, Electrical Engineering",0.69,NA,
Amber Massey,29,Operations,Logistics Coordinator,2,"Data Analysis, Teamwork",0.6,,NA
Larry Ramirez,39,Operations,Operations Manager,7,"Time Management, Risk Management, Teamwork, Process Improvement",0.6,NA,
David Clark,29,Customer Service,Customer Service Executive,2,Teamwork,0.95,,NA
Tammy Brown,31,Operations,Logistics Coordinator,4,"Project Management, Time Management",0.9,,NA
Tracey Williams,49,Operations,Operations Manager,12,"Project Management, Data Analysis, Time Management, Process Improvement, Risk Management, Teamwork",0.91,NA,
Ashley Goodwin,44,Engineering,Senior Engineer,7,"Systems Engineering, Java, Electrical Engineering",0.7,NA,
Alyssa Lee,48,Engineering,Senior Engineer,6,"Systems Engineering, Electrical Engineering, CAD Design",0.78,NA,
William Parker,25,Customer Service,Customer Service Executive,0,"Conflict Resolution, Problem Solving",0.99,,NA
Brandi Shelton,31,Operations,Logistics Coordinator,4,"Data Analysis, Teamwork",0.72,,NA
Ms. Ashley Mahoney,32,Engineering,Senior Engineer,6,"Electrical Engineering, Java",0.67,NA,
John Stanley,45,Operations,Operations Manager,11,"Risk Management, Project Management, Process Improvement, Data Analysis",0.75,NA,
David Roy,49,Operations,Operations Manager,9,"Data Analysis, Risk Management, Teamwork, Process Improvement",0.95,NA,
Rebecca Waters,25,Engineering,Junior Engineer,1,Systems Engineering,0.51,,NA
Stephen Holland,32,Operations,Logistics Coordinator,3,"Risk Management, Process Improvement",0.54,,NA
Jackie Washington,29,Engineering,Junior Engineer,1,"Systems Engineering, Electrical Engineering",0.71,,NA
Michelle Bird,31,Engineering,Engineer,3,"Data Analysis, Machine Learning, Systems Engineering",0.94,,NA
Betty Stevenson,27,IT,IT Support,0,"System Administration, Cloud Computing",0.6,,NA
Gilbert Williams,37,Engineering,Engineer,4,"Data Analysis, CAD Design, Electrical Engineering",0.72,,NA
Sandra Thompson,38,Logistics,Logistics Coordinator,4,"Inventory Management, Warehouse Management, Communication",0.94,,NA
Manuel Gallagher,32,Engineering,Senior Engineer,7,"Systems Engineering, CAD Design, Python",0.97,NA,
Jeremy Reed,29,Logistics,Logistics Coordinator,1,Networking,0.57,,NA
Curtis Green,32,Operations,Operations Manager,7,"Data Analysis, Process Improvement, Time Management",0.84,NA,
Thomas Martin,25,Engineering,Junior Engineer,2,"CAD Design, Python",0.83,,NA
Nancy Jones,37,Operations,Logistics Coordinator,3,"Teamwork, Project Management, Process Improvement",0.74,,NA
Jason Nunez,28,Engineering,Junior Engineer,1,"Machine Learning, Data Analysis",0.95,,NA
Steven Gardner,36,Operations,Operations Manager,7,"Data Analysis, Time Management, Risk Management",0.71,NA,
Katelyn Bean,25,Customer Service,Customer Service Executive,1,"Teamwork, Communication",0.72,,NA
Kelly Smith,54,Operations,Operations Manager,11,"Risk Management, Data Analysis, Teamwork, Project Management, Process Improvement, Time Management",0.72,NA,
Allen Wright,26,Customer Service,Customer Service Executive,0,Conflict Resolution,0.74,,NA
Ricky Petty,50,Operations,Operations Manager,14,"Time Management, Process Improvement, Risk Management, Teamwork",0.79,NA,
Alyssa Wheeler,26,Customer Service,Customer Service Executive,1,Conflict Resolution,0.6,,NA
Jose Mcclure,27,Logistics,Logistics Coordinator,1,"Networking, Inventory Management",0.7,,NA
Edward Saunders,34,Engineering,Engineer,5,"Data Analysis, Machine Learning, CAD Design",0.64,NA,
Ryan Diaz,25,IT,IT Support,1,"Cybersecurity, Cloud Computing",0.6,,NA
Ronald Soto,29,Customer Service,Customer Service Executive,1,"Problem Solving, Teamwork",0.93,,NA
Kimberly Mejia,30,Engineering,Senior Engineer,7,"Systems Engineering, Machine Learning, Electrical Engineering",0.68,NA,
Kevin Chavez,37,Engineering,Senior Engineer,6,"Machine Learning, Java",0.72,NA,
Tyler Ewing,32,Engineering,Engineer,3,"Java, Python, Electrical Engineering",0.69,,NA
Oscar Doyle,28,Customer Service,Customer Service Executive,1,Problem Solving,0.53,,NA
Jordan Ellis,28,Logistics,Logistics Coordinator,1,"Inventory Management, Supply Chain Management",0.56,,NA
Ana Mcmahon,27,Engineering,Junior Engineer,0,"Java, Python",0.85,,NA
Glenn Lopez,41,Operations,Operations Manager,9,"Teamwork, Project Management, Data Analysis, Process Improvement",0.92,NA,
Tina Zimmerman,29,Engineering,Junior Engineer,2,Systems Engineering,0.71,,NA
Jimmy Davis,30,Engineering,Senior Engineer,6,"Data Analysis, CAD Design",0.54,NA,
Kevin Mason,27,Customer Service,Customer Service Executive,0,"Problem Solving, Communication",0.83,,NA
Lisa Allen,33,Operations,Logistics Coordinator,4,"Teamwork, Data Analysis",0.55,,NA
Paul Williams,37,Engineering,Senior Engineer,7,"Electrical Engineering, CAD Design, Data Analysis",0.68,NA,
Stephanie Gonzalez,26,Operations,Logistics Coordinator,1,"Process Improvement, Data Analysis",0.66,,NA
Evan Oneal,41,Operations,Operations Manager,12,"Data Analysis, Teamwork, Risk Management, Time Management",0.92,NA,
Melvin Ferguson,43,Operations,Operations Manager,11,"Teamwork, Time Management, Risk Management, Project Management, Data Analysis",0.73,NA,
Mr. Matthew Cole PhD,31,Engineering,Engineer,5,"Data Analysis, Electrical Engineering",0.76,NA,
Shane Baker,45,Operations,Operations Manager,8,"Teamwork, Project Management, Process Improvement",0.58,NA,
Patrick Kennedy,28,IT,IT Support,2,Cloud Computing,0.65,,NA
Samuel Santiago,27,IT,IT Support,0,Cloud Computing,0.93,,NA
Cheryl Campbell,35,Logistics,Logistics Coordinator,3,"Supply Chain Management, Inventory Management, Data Analysis",0.99,,NA
Nancy Watts,52,Operations,Operations Manager,13,"Risk Management, Time Management, Teamwork, Data Analysis, Project Management",0.53,NA,
John Bell,31,Logistics,Logistics Coordinator,4,"Communication, Networking",0.71,,NA
Curtis Moore,26,IT,IT Support,2,"Python, Java",0.68,,NA
Caroline Butler,39,Engineering,Senior Engineer,6,"Python, CAD Design, Machine Learning",0.95,NA,
Nicole Moore,36,Engineering,Engineer,4,"Machine Learning, Electrical Engineering, Data Analysis",0.68,,NA
Carlos Young,36,Engineering,Engineer,4,"Machine Learning, Electrical Engineering, CAD Design",0.54,,NA
Thomas Luna,25,Customer Service,Customer Service Executive,2,Conflict Resolution,0.96,,NA
Hannah Benson,26,Operations,Logistics Coordinator,1,"Risk Management, Process Improvement",0.77,,NA
